# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
82368 82368 0  82368
        1     82345 1
        2     82360 1
        3     82367 1
        4     82366 1
        5     82302 1
        6     82342 1
        7     82352 1
        8     82305 1
        9     82365 1
       10     82330 1
       11     82340 1
       12     82328 1
       13     82353 1
       14     82356 1
       15     82312 1
       16     82230 1
       17     82232 1
       18     82294 1
       19     82298 1
       20     82311 1
       21     82316 1
       22     82243 1
       23     82332 1
       24     82334 1
       25     82287 1
       26     82272 1
       27     82292 1
       28     82270 1
       29     82323 1
       30     82322 1
       31     82258 1
       32     82249 1
       33     82283 1
       34     82251 1
       35     82171 1
       36     82210 1
       37     82137 1
       38     82221 1
       39     82143 1
       40     82156 1
       41     82227 1
       42     82237 1
       43     82238 1
       44     82263 1
       45     82159 1
       46     82286 1
       47     82276 1
       48     82209 1
       49     82193 1
       50     82219 1
       51     82213 1
       52     82186 1
       53     82266 1
       54     82257 1
       55     82179 1
       56     82203 1
       57     82165 1
       58     82063 1
       59     82075 1
       60     82114 1
       61     82110 1
       62     81986 1
       63     82093 1
       64     82019 1
       65     82026 1
       66     82125 1
       67     82129 1
       68     82028 1
       69     82045 1
       70     82052 1
       71     82130 1
       72     82178 1
       73     82152 1
       74     82144 1
       75     82151 1
       76     82046 1
       77     82204 1
       78     82194 1
       79     82108 1
       80     82085 1
       81     82119 1
       82     82120 1
       83     82184 1
       84     82166 1
       85     82080 1
       86     82101 1
       87     82055 1
       88     81924 1
       89     81921 1
       90     81942 1
       91     81989 1
       92     81985 1
       93     81831 1
       94     81823 1
       95     81959 1
       96     81955 1
       97     82001 1
       98     81975 1
       99     81829 1
      100     82102 1
      101     82091 1
      102     81765 1
      103     81641 1
      104     81438 1
      105     81874 1
      106     82005 1
      107     81876 1
      108     82011 1
      109     82018 1
      110     81906 1
      111     81877 1
      112     81907 1
      113     82015 1
      114     82069 1
      115     82071 1
      116     82041 1
      117     82033 1
      118     82037 1
      119     81901 1
      120     82105 1
      121     81978 1
      122     81995 1
      123     82000 1
      124     82081 1
      125     82060 1
      126     81944 1
      127     81961 1
      128     81916 1
      129     81915 1
      130     81761 1
      131     81779 1
      132     81756 1
      133     81824 1
      134     81816 1
      135     81837 1
      136     81644 1
      137     81790 1
      138     81793 1
      139     81850 1
      140     81811 1
      141     81640 1
      142     81967 1
      143     81968 1
      144     81574 1
      145     81573 1
      146     81625 1
      147     81422 1
      148     81436 1
      149     81201 1
      150     81192 1
      151     81937 1
      152     81747 1
      153     81846 1
      154     81369 1
      155     81854 1
      156     81691 1
      157     81702 1
      158     81859 1
      159     81869 1
      160     81870 1
      161     81728 1
      162     81738 1
      163     81699 1
      164     81739 1
      165     81730 1
      166     81863 1
      167     81938 1
      168     81931 1
      169     81894 1
      170     81884 1
      171     81885 1
      172     81891 1
      173     81722 1
      174     81969 1
      175     81809 1
      176     81838 1
      177     81844 1
      178     81945 1
      179     81918 1
      180     81785 1
      181     81798 1
      182     81748 1
      183     81740 1
      184     81569 1
      185     81599 1
      186     81566 1
      187     81633 1
      188     81656 1
      189     81626 1
      190     81431 1
      191     81604 1
      192     81619 1
      193     81426 1
      194     81363 1
      195     81361 1
      196     81184 1
      197     81418 1
      198     81197 1
      199     80932 1
      200     80923 1
      201     81774 1
      202     81550 1
      203     81559 1
      204     81661 1
      205     81662 1
      206     81128 1
      207     81127 1
      208     80278 1
      209     80628 1
      210     80624 1
      211     81672 1
      212     81669 1
      213     81489 1
      214     81491 1
      215     81499 1
      216     81682 1
      217     81684 1
      218     81685 1
      219     81529 1
      220     81537 1
      221     81541 1
      222     81495 1
      223     81545 1
      224     81533 1
      225     81676 1
      226     81769 1
      227     81719 1
      228     81713 1
      229     81706 1
      230     81710 1
      231     81717 1
      232     81525 1
      233     81800 1
      234     81801 1
      235     81623 1
      236     81650 1
      237     81651 1
      238     81781 1
      239     81752 1
      240     81598 1
      241     81555 1
      242     81546 1
      243     81389 1
      244     81354 1
      245     81442 1
      246     81187 1
      247     81412 1
      248     81609 1
      249     81416 1
      250     81121 1
      251     81338 1
      252     81180 1
      253     80919 1
      254     81205 1
      255     80931 1
      256     80922 1
      257     81584 1
      258     81335 1
      259     81344 1
      260     81347 1
      261     81457 1
      262     81466 1
      263     81096 1
      264     80854 1
      265     80848 1
      266     80279 1
      267     80615 1
      268     80611 1
      269     81232 1
      270     81212 1
      271     79883 1
      272     79888 1
      273     80269 1
      274     80618 1
      275     80951 1
      276     79885 1
      277     80262 1
      278     81462 1
      279     81475 1
      280     81460 1
      281     81262 1
      282     81273 1
      283     81258 1
      284     81482 1
      285     81478 1
      286     81315 1
      287     81307 1
      288     81319 1
      289     81324 1
      290     81269 1
      291     81325 1
      292     81311 1
      293     81467 1
      294     81582 1
      295     81521 1
      296     81512 1
      297     81514 1
      298     81503 1
      299     81507 1
      300     81509 1
      301     81299 1
      302     81300 1
      303     81615 1
      304     81616 1
      305     81450 1
      306     81446 1
      307     81591 1
      308     81561 1
      309     81382 1
      310     81336 1
      311     81328 1
      312     81146 1
      313     81114 1
      314     81174 1
      315     81394 1
      316     81400 1
      317     81407 1
      318     81100 1
      319     80915 1
      320     80939 1
      321     80614 1
      322     80905 1
      323     81376 1
      324     81086 1
      325     81104 1
      326     81108 1
      327     81220 1
      328     81240 1
      329     80819 1
      330     80814 1
      331     80816 1
      332     80535 1
      333     80840 1
      334     79900 1
      335     80257 1
      336     80276 1
      337     80607 1
      338     80977 1
      339     81217 1
      340     79503 1
      341     79474 1
      342     79898 1
      343     79488 1
      344     80271 1
      345     80650 1
      346     80952 1
      347     79467 1
      348     79475 1
      349     79025 1
      350     80873 1
      351     80631 1
      352     79001 1
      353     80174 1
      354     81244 1
      355     81228 1
      356     81256 1
      357     81226 1
      358     81006 1
      359     81017 1
      360     81002 1
      361     81255 1
      362     81250 1
      363     81070 1
      364     81069 1
      365     81078 1
      366     81056 1
      367     81081 1
      368     81077 1
      369     81013 1
      370     81059 1
      371     81060 1
      372     81239 1
      373     81371 1
      374     81289 1
      375     81296 1
      376     81293 1
      377     81276 1
      378     81281 1
      379     81282 1
      380     81050 1
      381     81047 1
      382     81408 1
      383     81401 1
      384     81211 1
      385     81209 1
      386     81380 1
      387     81351 1
      388     81143 1
      389     81089 1
      390     81090 1
      391     81152 1
      392     80871 1
      393     80844 1
      394     81170 1
      395     80906 1
      396     81157 1
      397     81161 1
      398     80818 1
      399     80632 1
      400     80596 1
      401     80601 1
      402     81137 1
      403     80828 1
      404     80879 1
      405     80832 1
      406     80825 1
      407     80960 1
      408     80981 1
      409     80510 1
      410     80503 1
      411     80522 1
      412     80531 1
      413     79922 1
      414     80292 1
      415     79893 1
      416     80681 1
      417     80958 1
      418     79504 1
      419     79041 1
      420     79008 1
      421     79487 1
      422     79479 1
      423     80254 1
      424     80657 1
      425     80320 1
      426     78999 1
      427     79007 1
      428     79021 1
      429     80563 1
      430     80285 1
      431     80299 1
      432     78517 1
      433     78521 1
      434     80143 1
      435     79792 1
      436     80161 1
      437     73481 1
      438     69359 1
      439     80348 1
      440     74622 1
      441     78516 1
      442     72370 1
      443     65395 1
      444     78034 1
      445     67468 1
      446     74050 1
      447     79926 1
      448     70574 1
      449     78027 1
      450     72924 1
      451     71172 1
      452     79346 1
      453     79774 1
      454     68737 1
      455     65444 1
      456     69355 1
      457     66137 1
      458     66791 1
      459     69983 1
      460     74619 1
      461     68110 1
      462     71785 1
      463     79779 1
      464     71780 1
      465     73486 1
      466     80661 1
      467     80999 1
      468     80986 1
      469     80969 1
      470     81000 1
      471     80965 1
      472     80712 1
      473     80720 1
      474     80708 1
      475     80994 1
      476     80990 1
      477     80776 1
      478     80781 1
      479     80795 1
      480     80779 1
      481     80794 1
      482     80763 1
      483     80787 1
      484     80714 1
      485     80771 1
      486     80773 1
      487     80975 1
      488     81131 1
      489     81043 1
      490     81033 1
      491     81044 1
      492     81036 1
      493     81021 1
      494     81025 1
      495     81029 1
      496     80761 1
      497     80756 1
      498     81171 1
      499     81172 1
      500     80946 1
      501     80941 1
      502     81141 1
      503     81112 1
      504     80870 1
      505     80808 1
      506     80799 1
      507     80804 1
      508     80886 1
      509     80878 1
      510     80560 1
      511     80526 1
      512     80897 1
      513     80890 1
      514     80507 1
      515     80289 1
      516     80290 1
      517     80583 1
      518     80860 1
      519     80569 1
      520     80516 1
      521     80517 1
      522     80677 1
      523     80151 1
      524     80148 1
      525     80140 1
      526     80171 1
      527     80157 1
      528     79911 1
      529     79855 1
      530     80233 1
      531     80656 1
      532     79499 1
      533     79035 1
      534     78551 1
      535     79017 1
      536     79020 1
      537     79445 1
      538     80315 1
      539     79947 1
      540     78538 1
      541     78527 1
      542     78543 1
      543     80205 1
      544     79905 1
      545     79906 1
      546     78016 1
      547     78003 1
      548     79759 1
      549     74046 1
      550     73478 1
      551     69319 1
      552     69940 1
      553     69980 1
      554     80327 1
      555     80347 1
