# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
81904 81904 0  81904
        1         5 1
        2        30 1
        3        25 1
        4        10 1
        5        32 1
        6         6 1
        7        15 1
        8        21 1
        9       144 1
       10        59 1
       11       148 1
       12       141 1
       13       153 1
       14        63 1
       15        58 1
       16        66 1
       17        70 1
       18       160 1
       19        49 1
       20       137 1
       21        40 1
       22       114 1
       23        86 1
       24       128 1
       25        87 1
       26        93 1
       27       116 1
       28        82 1
       29       161 1
       30        97 1
       31        99 1
       32        54 1
       33       104 1
       34       127 1
       35        43 1
       36       107 1
       37       138 1
       38        78 1
       39       123 1
       40        44 1
       41       325 1
       42       326 1
       43       229 1
       44       240 1
       45       320 1
       46       333 1
       47       220 1
       48       221 1
       49       233 1
       50       236 1
       51       334 1
       52       316 1
       53       163 1
       54       215 1
       55       303 1
       56       308 1
       57       202 1
       58       278 1
       59       279 1
       60       247 1
       61       248 1
       62       300 1
       63       296 1
       64       258 1
       65       263 1
       66       284 1
       67       265 1
       68       269 1
       69       211 1
       70       273 1
       71       294 1
       72       201 1
       73       243 1
       74       288 1
       75       197 1
       76       178 1
       77       174 1
       78       168 1
       79       187 1
       80       183 1
       81       169 1
       82       310 1
       83       194 1
       84       646 1
       85       648 1
       86       652 1
       87       547 1
       88       533 1
       89       551 1
       90       658 1
       91       470 1
       92       476 1
       93       527 1
       94       538 1
       95       539 1
       96       642 1
       97       659 1
       98       633 1
       99       338 1
      100       461 1
      101       459 1
      102       610 1
      103       609 1
      104       456 1
      105       448 1
      106       449 1
      107       585 1
      108       576 1
      109       578 1
      110       587 1
      111       560 1
      112       605 1
      113       598 1
      114       566 1
      115       563 1
      116       569 1
      117       572 1
      118       450 1
      119       594 1
      120       555 1
      121       592 1
      122       354 1
      123       349 1
      124       342 1
      125       347 1
      126       378 1
      127       360 1
      128       619 1
      129       615 1
      130       389 1
      131       385 1
      132       366 1
      133       483 1
      134       403 1
      135       519 1
      136       435 1
      137       368 1
      138       398 1
      139       487 1
      140       421 1
      141       491 1
      142       492 1
      143       376 1
      144       467 1
      145       499 1
      146       413 1
      147       369 1
      148       507 1
      149       524 1
      150       509 1
      151       513 1
      152       517 1
      153       402 1
      154       434 1
      155       670 1
      156       665 1
      157       430 1
      158       637 1
      159       423 1
      160       481 1
      161       424 1
      162       624 1
      163       414 1
      164       503 1
      165       399 1
      166       392 1
      167       627 1
      168      1037 1
      169      1043 1
      170       937 1
      171       932 1
      172       924 1
      173       941 1
      174      1050 1
      175       865 1
      176       867 1
      177       917 1
      178       928 1
      179      1036 1
      180      1021 1
      181      1045 1
      182      1027 1
      183       672 1
      184       845 1
      185       841 1
      186       832 1
      187       996 1
      188       992 1
      189       837 1
      190       840 1
      191       829 1
      192       974 1
      193       970 1
      194       966 1
      195       978 1
      196       952 1
      197       988 1
      198       984 1
      199       955 1
      200       948 1
      201       960 1
      202       945 1
      203       687 1
      204       679 1
      205       673 1
      206       712 1
      207       692 1
      208      1000 1
      209      1003 1
      210       713 1
      211       719 1
      212       697 1
      213       872 1
      214       737 1
      215       913 1
      216       855 1
      217       781 1
      218       777 1
      219       729 1
      220       881 1
      221       748 1
      222       752 1
      223       883 1
      224       886 1
      225       706 1
      226       707 1
      227       894 1
      228       747 1
      229       901 1
      230       898 1
      231       903 1
      232       908 1
      233       724 1
      234       764 1
      235      1064 1
      236      1068 1
      237      1060 1
      238      1030 1
      239       756 1
      240       760 1
      241      1004 1
      242       741 1
      243       888 1
      244       728 1
      245       708 1
      246      1010 1
      247      1017 1
      248      1015 1
      249       809 1
      250       863 1
      251       797 1
      252       813 1
      253       817 1
      254       848 1
      255       776 1
      256       823 1
      257       788 1
      258       824 1
      259       805 1
      260       770 1
      261       859 1
      262       801 1
      263      1054 1
      264       686 1
      265       793 1
      266       919 1
      267      1059 1
      268      1541 1
      269      1413 1
      270      1411 1
      271      1401 1
      272      1420 1
      273      1544 1
      274      1350 1
      275      1397 1
      276      1402 1
      277      1537 1
      278      1527 1
      279      1530 1
      280      1100 1
      281      1328 1
      282      1326 1
      283      1317 1
      284      1471 1
      285      1474 1
      286      1458 1
      287      1318 1
      288      1313 1
      289      1309 1
      290      1441 1
      291      1449 1
      292      1442 1
      293      1437 1
      294      1451 1
      295      1430 1
      296      1467 1
      297      1468 1
      298      1457 1
      299      1433 1
      300      1424 1
      301      1105 1
      302      1112 1
      303      1140 1
      304      1119 1
      305      1475 1
      306      1145 1
      307      1127 1
      308      1169 1
      309      1156 1
      310      1165 1
      311      1387 1
      312      1332 1
      313      1388 1
      314      1225 1
      315      1205 1
      316      1221 1
      317      1217 1
      318      1139 1
      319      1157 1
      320      1364 1
      321      1355 1
      322      1177 1
      323      1173 1
      324      1181 1
      325      1358 1
      326      1368 1
      327      1134 1
      328      1131 1
      329      1372 1
      330      1380 1
      331      1374 1
      332      1381 1
      333      1148 1
      334      1195 1
      335      1585 1
      336      1531 1
      337      1593 1
      338      1582 1
      339      1563 1
      340      1197 1
      341      1482 1
      342      1483 1
      343      1491 1
      344      1509 1
      345      1493 1
      346      1498 1
      347      1294 1
      348      1252 1
      349      1342 1
      350      1337 1
      351      1073 1
      352      1279 1
      353      1284 1
      354      1303 1
      355      1304 1
      356      1215 1
      357      1306 1
      358      1216 1
      359      1231 1
      360      1290 1
      361      1289 1
      362      1554 1
      363      1106 1
      364      1232 1
      365      1394 1
      366      1416 1
      367      1553 1
      368      1559 1
      369      1077 1
      370      1504 1
      371      1095 1
      372      1571 1
      373      1240 1
      374      1567 1
      375      1251 1
      376      1083 1
      377      1507 1
      378      1594 1
      379      1087 1
      380      1264 1
      381      1268 1
      382      1099 1
      383      1274 1
      384      1511 1
      385      1190 1
      386      1194 1
      387      1275 1
      388      1577 1
      389      1236 1
      390      1246 1
      391      1247 1
      392      1518 1
      393      1118 1
      394      1521 1
      395      1578 1
      396      1345 1
      397      1257 1
      398      1089 1
      399      1159 1
      400      1183 1
      401      2038 1
      402      1908 1
      403      1903 1
      404      1918 1
      405      2029 1
      406      2036 1
      407      1858 1
      408      1891 1
      409      1894 1
      410      1902 1
      411      2021 1
      412      1619 1
      413      1825 1
      414      1832 1
      415      1824 1
      416      1956 1
      417      1964 1
      418      1970 1
      419      1817 1
      420      1813 1
      421      1809 1
      422      1945 1
      423      1948 1
      424      1941 1
      425      1935 1
      426      1952 1
      427      1934 1
      428      1963 1
      429      1923 1
      430      1627 1
      431      1633 1
      432      1634 1
      433      1656 1
      434      1638 1
      435      1643 1
      436      1658 1
      437      1677 1
      438      1678 1
      439      1666 1
      440      1885 1
      441      1833 1
      442      1887 1
      443      1731 1
      444      1725 1
      445      1732 1
      446      1714 1
      447      1710 1
      448      1653 1
      449      1644 1
      450      1654 1
      451      1860 1
      452      1864 1
      453      1686 1
      454      1682 1
      455      1690 1
      456      1870 1
      457      1875 1
      458      1881 1
      459      1882 1
      460      2022 1
      461      2079 1
      462      2084 1
      463      2077 1
      464      2062 1
      465      1974 1
      466      1978 1
      467      1983 1
      468      1984 1
      469      1979 1
      470      1801 1
      471      1754 1
      472      1789 1
      473      1841 1
      474      1842 1
      475      1837 1
      476      1596 1
      477      1736 1
      478      1779 1
      479      1788 1
      480      1784 1
      481      1804 1
